start,end,duration,var
2036-01-11,2036-01-17,7,TSA
2036-01-19,2036-01-28,10,TSA
2036-11-24,2036-11-25,2,TSA
2036-12-09,2036-12-16,8,TSA
2036-12-23,2036-12-31,9,TSA
2037-01-04,2037-01-06,3,TSA
2037-01-10,2037-01-15,6,TSA
2037-01-23,2037-01-31,9,TSA
2037-02-02,2037-02-03,2,TSA
2037-03-05,2037-03-06,2,TSA
2037-11-11,2037-11-12,2,TSA
2037-11-18,2037-11-19,2,TSA
2037-12-15,2037-12-16,2,TSA
2038-01-12,2038-01-19,8,TSA
2038-01-23,2038-01-26,4,TSA
2038-02-06,2038-02-11,6,TSA
2038-02-13,2038-02-16,4,TSA
2038-02-25,2038-02-26,2,TSA
2038-03-08,2038-03-10,3,TSA
2038-12-07,2038-12-09,3,TSA
2038-12-11,2038-12-14,4,TSA
2038-12-24,2038-12-29,6,TSA
2039-01-06,2039-01-08,3,TSA
2039-01-20,2039-01-21,2,TSA
2039-01-28,2039-01-29,2,TSA
2039-02-06,2039-02-10,5,TSA
2039-12-09,2039-12-12,4,TSA
2039-12-18,2039-12-20,3,TSA
2036-01-11,2036-01-17,7,TSA_U
2036-01-19,2036-01-28,10,TSA_U
2036-12-09,2036-12-16,8,TSA_U
2036-12-23,2036-12-31,9,TSA_U
2037-01-04,2037-01-06,3,TSA_U
2037-01-10,2037-01-15,6,TSA_U
2037-01-23,2037-01-28,6,TSA_U
2037-01-30,2037-01-31,2,TSA_U
2037-02-03,2037-02-04,2,TSA_U
2037-03-05,2037-03-06,2,TSA_U
2037-11-11,2037-11-12,2,TSA_U
2037-12-15,2037-12-16,2,TSA_U
2038-01-13,2038-01-19,7,TSA_U
2038-01-24,2038-01-26,3,TSA_U
2038-02-06,2038-02-11,6,TSA_U
2038-02-13,2038-02-16,4,TSA_U
2038-02-25,2038-02-26,2,TSA_U
2038-03-08,2038-03-11,4,TSA_U
2038-12-07,2038-12-09,3,TSA_U
2038-12-11,2038-12-14,4,TSA_U
2038-12-25,2038-12-29,5,TSA_U
2039-01-04,2039-01-09,6,TSA_U
2039-01-20,2039-01-21,2,TSA_U
2039-02-06,2039-02-10,5,TSA_U
2039-12-10,2039-12-12,3,TSA_U
2039-12-18,2039-12-20,3,TSA_U
2036-01-11,2036-01-17,7,TSA_R
2036-01-19,2036-01-28,10,TSA_R
2036-11-24,2036-11-25,2,TSA_R
2036-12-09,2036-12-16,8,TSA_R
2036-12-23,2036-12-30,8,TSA_R
2037-01-04,2037-01-06,3,TSA_R
2037-01-10,2037-01-15,6,TSA_R
2037-01-23,2037-01-31,9,TSA_R
2037-02-02,2037-02-03,2,TSA_R
2037-03-05,2037-03-06,2,TSA_R
2037-11-11,2037-11-12,2,TSA_R
2037-11-18,2037-11-19,2,TSA_R
2037-12-15,2037-12-16,2,TSA_R
2038-01-12,2038-01-19,8,TSA_R
2038-01-23,2038-01-26,4,TSA_R
2038-02-06,2038-02-11,6,TSA_R
2038-02-13,2038-02-16,4,TSA_R
2038-02-25,2038-02-26,2,TSA_R
2038-03-08,2038-03-10,3,TSA_R
2038-12-07,2038-12-09,3,TSA_R
2038-12-11,2038-12-14,4,TSA_R
2038-12-24,2038-12-29,6,TSA_R
2039-01-06,2039-01-08,3,TSA_R
2039-01-20,2039-01-21,2,TSA_R
2039-01-28,2039-01-29,2,TSA_R
2039-02-06,2039-02-10,5,TSA_R
2039-12-09,2039-12-12,4,TSA_R
2039-12-18,2039-12-20,3,TSA_R
